panel,method,epsilon,value,lower,upper,vector_x,vector_y,vector_y_low,vector_y_high
rmse,NPE,0.0,4.569662109254997,4.251809260883563,4.887514957626431,23.199954,67.639004,62.548733,72.729275
rmse,NPE,0.1,4.772879531754218,4.436210234559195,5.109838315659291,43.319969,70.89344,65.501832,76.289684
rmse,NPE,0.2,6.204085840777421,5.748728366212701,6.659732864495397,63.444621,93.813568,86.521222,101.110551
rmse,NPE,0.3,7.031719103213997,6.520780804751864,7.542367977409287,83.564636,107.067744,98.885296,115.245557
rmse,NPE,0.4,7.557710585712284,7.0265084048763145,8.088623279838203,103.684652,115.491262,106.984297,123.993591
rmse,NPE,0.5,7.859641852360622,7.315991867878942,8.403002350132251,123.804667,120.326556,111.620245,129.028231
rmse,NNPE,0.0,4.81688101213607,4.521318390665612,5.112443633606528,23.199954,71.598104,66.864801,76.331407
rmse,NNPE,0.1,4.604400139801682,4.317232508036243,4.891278284857073,43.319969,68.195318,63.596457,72.789543
rmse,NNPE,0.2,4.981597139301171,4.667218069007124,5.295686660441962,63.444621,74.235959,69.201319,79.265962
rmse,NNPE,0.3,4.9190686968057795,4.602084246121287,5.236342571757115,83.564636,73.234594,68.15823,78.315593
rmse,NNPE,0.4,5.0394937944357725,4.72106197264424,5.357925616227305,103.684652,75.163148,70.063605,80.262691
rmse,NNPE,0.5,5.02849342434031,4.706298337761343,5.3506885733624845,123.804667,74.986982,69.827172,80.146793
rmse,NPE-MDS (RF),0.0,4.59947892817405,4.283652424329755,4.915305369575137,23.199954,68.116507,63.058687,73.174326
rmse,NPE-MDS (RF),0.1,4.18378063334044,3.872875403566986,4.494685925557103,43.319969,61.459285,56.480277,66.438294
rmse,NPE-MDS (RF),0.2,2.293453522521877,2.1087630621361955,2.4778544961975086,63.444621,31.186543,28.228808,34.139642
rmse,NPE-MDS (RF),0.3,2.8993424627888986,2.6972829871298747,3.1016914251579717,83.564636,40.889583,37.653691,44.130111
rmse,NPE-MDS (RF),0.4,3.10371776968511,2.885157738882892,3.322277800487328,103.684652,44.162562,40.662421,47.662703
rmse,NPE-MDS (RF),0.5,3.266407489879865,3.007609243483231,3.5254952229865495,123.804667,46.767965,42.623427,50.917139
rmse,NPE-OR,0.0,5.08581116849802,4.733220289579901,5.438402047416138,23.199954,75.9049,70.258315,81.551485
rmse,NPE-OR,0.1,4.469790318265683,4.173069749955027,4.766221399866289,43.319969,66.039602,61.287755,70.786813
rmse,NPE-OR,0.2,4.770274151363774,4.428973129251167,5.11186466018643,63.444621,70.851716,65.385933,76.322135
rmse,NPE-OR,0.3,4.802406863963222,4.448368551494855,5.156155627278331,83.564636,71.366307,65.696542,77.031435
rmse,NPE-OR,0.4,5.097390512013582,4.747405013485907,5.447376010541255,103.684652,76.090338,70.485477,81.695199
rmse,NPE-OR,0.5,5.499772543071332,5.098548458853778,5.900996627288885,123.804667,82.534306,76.108882,88.95973
predictive_mmd,NPE,0.0,0.03290890269520991,0.032649216183521644,0.03316829343311382,169.677375,49.299193,45.22883,53.36492
predictive_mmd,NPE,0.1,0.03348654245231047,0.03317805384039866,0.03379473529043793,189.797391,58.3532,53.517906,63.183858
predictive_mmd,NPE,0.2,0.03507157649022043,0.034591540997366305,0.03555161198307455,209.917406,83.197247,75.673103,90.721391
predictive_mmd,NPE,0.3,0.03605057674292965,0.03544513456909697,0.03665601891676233,230.037421,98.542235,89.052449,108.032021
