N,original_wasserstein1,original_summary_mmd,escaping_summary_mmd,other_summary_mmd_lower_bound,mds_bounded_witness,escaping_summary_strictly_selected
3,0.06666666666666667,0.01988531815143044,0.001110688236780116,0.06766764161830632,0.9,true
4,0.027777777777777776,0.006523701825093582,0.0000018005627955081459,0.06766764161830632,0.9411764705882353,true
5,0.011764705882352941,0.0022606810332995845,3.471985966241005E-10,0.06766764161830632,0.9615384615384616,true
6,0.005050505050505051,0.0008186906373033236,8.35028218887685E-15,0.06766764161830632,0.972972972972973,true
7,0.002197802197802198,0.00030762909697133577,2.5690139750480974E-20,0.06766764161830632,0.98,true
8,0.0009689922480620155,0.0001192461769628644,1.0264389699511283E-26,0.06766764161830632,0.9846153846153847,true
9,0.00043233895373973193,0.00004744824980715812,5.378138531660396E-34,0.06766764161830632,0.9878048780487805,true
10,0.0001949317738791423,0.00001929921703214753,3.7200759760208363E-42,0.06766764161830632,0.9900990099009901,true
11,0.00008869179600886918,0.000007996529683353515,3.413131807036764E-51,0.06766764161830632,0.9918032786885246,true
12,0.00004067024564828372,0.0000033657326490236297,4.168282048773553E-61,0.06766764161830632,0.993103448275862,true
13,0.000018775464223352923,0.0000014357457573201475,6.793901764606271E-72,0.06766764161830632,0.9941176470588236,true
14,0.00000871824379696954,6.195625885755339E-7,1.4809405278635443E-83,0.06766764161830632,0.9949238578680203,true
15,0.000004068762079137423,2.7004792119705495E-7,4.324382387603661E-96,0.06766764161830632,0.995575221238938,true
16,0.0000019072904269278892,1.1874091289000722E-7,1.6937628305176282E-109,0.06766764161830632,0.9961089494163424,true
17,8.975621314946474E-7,5.261539689732873E-8,8.908253614182894E-124,0.06766764161830632,0.996551724137931,true
18,4.238520180018429E-7,2.3474769416117928E-8,6.2969881141597085E-139,0.06766764161830632,0.9969230769230769,true
19,2.0077277440869908E-7,1.0537757196264371E-8,5.986861824428934E-155,0.06766764161830632,0.9972375690607734,true
20,9.536724974203159E-8,4.756456469606745E-9,7.660678386856023E-172,0.06766764161830632,0.9975062344139651,true
21,4.5413019376781696E-8,2.157626603560303E-9,1.319994343446745E-189,0.06766764161830632,0.997737556561086,true
22,2.167440594679809E-8,9.831668339412033E-10,3.0641930307259263E-208,0.06766764161830632,0.9979381443298969,true
23,1.03660227068764E-8,4.4984546567049633E-10,9.58682379645022E-228,0.06766764161830632,0.9981132075471698,true
24,4.967053139163676E-9,2.0660155267672776E-10,4.043904651938727E-248,0.06766764161830632,0.9982668977469671,true
25,2.3841856489070865E-9,9.52149600799805E-11,2.3005349092511253E-269,0.06766764161830632,0.9984025559105432,true
26,1.1462431345968046E-9,4.402110623850213E-11,1.7655374306280216E-291,0.06766764161830632,0.9985228951255539,true
27,5.518948508075205E-10,2.0412530089089937E-11,1.8283116455E-314,0.06766764161830632,0.9986301369863013,true
28,2.660921621933099E-10,9.491177688906097E-12,0.0,0.06766764161830632,0.9987261146496815,true
29,1.284582856753147E-10,4.424332129621908E-12,0.0,0.06766764161830632,0.998812351543943,true
30,6.208817152538368E-11,2.067307432665805E-12,0.0,0.06766764161830632,0.9988901220865705,true
