epsilon,sample,theta_1,theta_2_log,summary_clean,summary_observed,summary_mds,npe_mean_baseline,npe_mean_mds,rmse_baseline,rmse_mds,gate_passed,lbfgs_evaluations,adapt_ms
0,0,1.6108019352,0.720744609833,"[2.0634429454803467, 0.000827235693577677, 0.6609132289886475]","[2.0634429454803467, 0.000827235693577677, 0.6609132289886475]","[2.0634429454803467, 0.000827235693577677, 0.6609132289886475]","[1.733994960784912, 0.7211112380027771]","[1.733994960784912, 0.7211112380027771]",0.0871110111475,0.0871110111475,True,0,16.4397391491
0,1,0.699809908867,1.54831004143,"[4.988616943359375, 0.010461442172527313, 0.9689536094665527]","[4.988616943359375, 0.010461442172527313, 0.9689536094665527]","[4.988616943359375, 0.010461442172527313, 0.9689536094665527]","[0.7038856744766235, 1.5520102977752686]","[0.7038856744766235, 1.5520102977752686]",0.00389254186302,0.00389254186302,True,0,6.51659211144
0,2,0.970022797585,-0.134967565536,"[1.0220656394958496, 0.005806857254356146, 0.9348754286766052]","[1.0220656394958496, 0.005806857254356146, 0.9348754286766052]","[1.0220656394958496, 0.005806857254356146, 0.9348754286766052]","[0.984108030796051, -0.12804923951625824]","[0.984108030796051, -0.12804923951625824]",0.0110963284969,0.0110963284969,True,0,9.59225604311
0,3,0.145107030869,0.781837940216,"[6.560544490814209, 0.0865493193268776, 0.9961391091346741]","[6.560544490814209, 0.0865493193268776, 0.9961391091346741]","[6.560544490814209, 0.0865493193268776, 0.9961391091346741]","[0.14704841375350952, 1.2231650352478027]","[0.14704841375350952, 1.2231650352478027]",0.312068402767,0.312068402767,True,0,5.14670484699
0,4,1.04496157169,-1.49887108803,"[0.33641570806503296, 0.0047097718343138695, 0.9291476607322693]","[0.33641570806503296, 0.0047097718343138695, 0.9291476607322693]","[0.33641570806503296, 0.0047097718343138695, 0.9291476607322693]","[1.0247383117675781, -1.5508614778518677]","[1.0247383117675781, -1.5508614778518677]",0.0394460447133,0.0394460447133,True,0,6.18524802849
0,5,1.87544727325,1.14562177658,"[3.144686222076416, 0.0009210541029460728, 0.6545755863189697]","[3.144686222076416, 0.0009210541029460728, 0.6545755863189697]","[3.144686222076416, 0.0009210541029460728, 0.6545755863189697]","[1.7600677013397217, 1.1419706344604492]","[1.7600677013397217, 1.1419706344604492]",0.0816265195608,0.0816265195608,True,0,4.99049504288
0,6,1.34836030006,0.680509090424,"[1.9966628551483154, 0.001352810300886631, 0.7841481566429138]","[1.9966628551483154, 0.001352810300886631, 0.7841481566429138]","[1.9966628551483154, 0.001352810300886631, 0.7841481566429138]","[1.3126782178878784, 0.6779121160507202]","[1.3126782178878784, 0.6779121160507202]",0.0252977795899,0.0252977795899,True,0,5.62209798954
0,7,1.09356486797,-0.978704452515,"[0.4681086242198944, 0.0035721503663808107, 0.8994497656822205]","[0.4681086242198944, 0.0035721503663808107, 0.8994497656822205]","[0.4681086242198944, 0.0035721503663808107, 0.8994497656822205]","[1.086977481842041, -0.9748265147209167]","[1.086977481842041, -0.9748265147209167]",0.00540518527851,0.00540518527851,True,0,5.61657291837
0,8,1.77303254604,0.605893611908,"[1.835150957107544, 0.0008660806925036013, 0.6979833841323853]","[1.835150957107544, 0.0008660806925036013, 0.6979833841323853]","[1.835150957107544, 0.0008660806925036013, 0.6979833841323853]","[1.5959668159484863, 0.604351818561554]","[1.5959668159484863, 0.604351818561554]",0.125209122896,0.125209122896,True,0,9.8458819557
0,9,1.64437627792,-0.141121864319,"[0.869411826133728, 0.0008470219327136874, 0.6780110597610474]","[0.869411826133728, 0.0008470219327136874, 0.6780110597610474]","[0.869411826133728, 0.0008470219327136874, 0.6780110597610474]","[1.6774592399597168, -0.14542515575885773]","[1.6774592399597168, -0.14542515575885773]",0.023590259254,0.023590259254,True,0,10.3056610096
0,10,1.81752705574,1.46806073189,"[4.339208602905273, 0.0007004767539910972, 0.5883130431175232]","[4.339208602905273, 0.0007004767539910972, 0.5883130431175232]","[4.295531272888184, 0.0008008144795894623, 0.6899813413619995]","[2.002173900604248, 1.465867519378662]","[1.626105785369873, 1.4574733972549438]",0.130574241281,0.13556215167,False,20,125.747078098
0,11,1.96917140484,-1.06430578232,"[0.34638065099716187, 0.0007956677000038326, 0.6437404155731201]","[0.34638065099716187, 0.0007956677000038326, 0.6437404155731201]","[0.2671194076538086, 0.0004347674548625946, 0.6264297962188721]","[1.8007980585098267, -1.0710395574569702]","[1.8612046241760254, -1.324254035949707]",0.119153112173,0.199035078287,False,7,28.1058889814
0,12,1.20067739487,-0.224704742432,"[0.8475859761238098, 0.001659737667068839, 0.8327949047088623]","[0.8475859761238098, 0.001659737667068839, 0.8327949047088623]","[0.8475859761238098, 0.001659737667068839, 0.8327949047088623]","[1.2208982706069946, -0.21596403419971466]","[1.2208982706069946, -0.21596403419971466]",0.0155769670382,0.0155769670382,True,0,20.9287370089
0,13,1.18298184872,-1.37688755989,"[0.3058070242404938, 0.0021829346660524607, 0.8417224884033203]","[0.3058070242404938, 0.0021829346660524607, 0.8417224884033203]","[0.3058070242404938, 0.0021829346660524607, 0.8417224884033203]","[1.214687705039978, -1.3794350624084473]","[1.214687705039978, -1.3794350624084473]",0.0224916767329,0.0224916767329,True,0,17.8336780518
0,14,1.62843906879,0.58690738678,"[1.8029437065124512, 0.0010181802790611982, 0.7213289737701416]","[1.8029437065124512, 0.0010181802790611982, 0.7213289737701416]","[1.8029437065124512, 0.0010181802790611982, 0.7213289737701416]","[1.5127899646759033, 0.5837900042533875]","[1.5127899646759033, 0.5837900042533875]",0.0818059667945,0.0818059667945,True,0,21.8817510176
0,15,0.626592516899,-1.77805352211,"[0.9059152007102966, 0.04827723279595375, 0.9925979971885681]","[0.9059152007102966, 0.04827723279595375, 0.9925979971885681]","[0.9059152007102966, 0.04827723279595375, 0.9925979971885681]","[0.6258403658866882, -1.740999460220337]","[0.6258403658866882, -1.740999460220337]",0.0262065753341,0.0262065753341,True,0,21.9106180593
0,16,0.793452739716,-1.22287893295,"[0.6440168023109436, 0.018909724429249763, 0.9810105562210083]","[0.6440168023109436, 0.018909724429249763, 0.9810105562210083]","[0.6440168023109436, 0.018909724429249763, 0.9810105562210083]","[0.7910641431808472, -1.233031153678894]","[0.7910641431808472, -1.233031153678894]",0.00737471971661,0.00737471971661,True,0,22.8728260845
0,17,0.666797161102,-1.3957092762,"[0.8631208539009094, 0.03754154592752457, 0.9909141063690186]","[0.8631208539009094, 0.03754154592752457, 0.9909141063690186]","[0.8631208539009094, 0.03754154592752457, 0.9909141063690186]","[0.670244574546814, -1.3515839576721191]","[0.670244574546814, -1.3515839576721191]",0.0312963910401,0.0312963910401,True,0,16.8949959334
0,18,1.18247234821,1.39818835258,"[4.079082012176514, 0.0017636737320572138, 0.8333531618118286]","[4.079082012176514, 0.0017636737320572138, 0.8333531618118286]","[4.079082012176514, 0.0017636737320572138, 0.8333531618118286]","[1.1454321146011353, 1.3956390619277954]","[1.1454321146011353, 1.3956390619277954]",0.0262533593923,0.0262533593923,True,0,16.8423028663
0,19,0.98117351532,1.01310491562,"[2.8624658584594727, 0.0041602072305977345, 0.9214109778404236]","[2.8624658584594727, 0.0041602072305977345, 0.9214109778404236]","[2.829131603240967, 0.005989322438836098, 0.8932850956916809]","[0.9693745374679565, 1.0111135244369507]","[1.0093927383422852, 0.9801151752471924]",0.00846113264561,0.0306972917169,False,15,130.050685955
0,20,1.84160423279,1.96215844154,"[7.11768913269043, 0.0007307734340429306, 0.619502604007721]","[7.11768913269043, 0.0007307734340429306, 0.619502604007721]","[7.08686637878418, 0.002087276428937912, 0.6969162225723267]","[1.7361164093017578, 1.9621450901031494]","[1.4801782369613647, 1.9465935230255127]",0.07459115237,0.255803644657,False,8,88.3599689696
0,21,1.48104608059,-0.0195467472076,"[0.9875261187553406, 0.0011424978729337454, 0.746679425239563]","[0.9875261187553406, 0.0011424978729337454, 0.746679425239563]","[0.9875261187553406, 0.0011424978729337454, 0.746679425239563]","[1.4440481662750244, -0.028413094580173492]","[1.4440481662750244, -0.028413094580173492]",0.0269022099674,0.0269022099674,True,0,11.0755229834
0,22,0.526807188988,-1.64075136185,"[1.3216627836227417, 0.07856908440589905, 0.9953161478042603]","[1.3216627836227417, 0.07856908440589905, 0.9953161478042603]","[1.3216627836227417, 0.07856908440589905, 0.9953161478042603]","[0.525337815284729, -1.6794497966766357]","[0.525337815284729, -1.6794497966766357]",0.0273836441338,0.0273836441338,True,0,17.3054370098
0,23,1.21033799648,0.2413585186,"[1.3195853233337402, 0.001841688179410994, 0.833681046962738]","[1.3195853233337402, 0.001841688179410994, 0.833681046962738]","[1.3195853233337402, 0.001841688179410994, 0.833681046962738]","[1.2044565677642822, 0.2438230961561203]","[1.2044565677642822, 0.2438230961561203]",0.00450917659327,0.00450917659327,True,0,17.5278261304
