epsilon,outlier_y,mds_summary,posterior_kl,kl_over_epsilon
0.01,-25,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-24.9,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-24.8,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-24.7,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-24.6,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-24.5,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-24.4,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-24.3,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-24.2,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-24.1,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-24,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-23.9,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-23.8,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-23.7,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-23.6,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-23.5,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-23.4,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-23.3,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-23.2,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-23.1,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-23,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-22.9,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-22.8,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-22.7,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-22.6,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-22.5,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-22.4,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-22.3,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-22.2,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-22.1,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-22,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
