epoch,train_nll,val_nll
1,-1.22310668121,-2.16563367844
2,-2.24778513718,-2.25998282433
3,-2.29616353259,-2.30004048347
4,-2.31925721516,-2.32224798203
5,-2.33597840287,-2.33099293709
6,-2.35140412869,-2.35586500168
7,-2.37626577994,-2.36733078957
8,-2.38884519207,-2.38160181046
9,-2.39190397936,-2.39112281799
10,-2.40060620185,-2.37720608711
11,-2.39920208527,-2.36430120468
12,-2.41799685186,-2.40201330185
13,-2.42993143755,-2.42456793785
14,-2.44187261783,-2.42618894577
15,-2.4471956602,-2.42309570312
16,-2.44953548252,-2.42004156113
17,-2.45089251945,-2.43740081787
18,-2.45495022056,-2.4491379261
19,-2.45775915539,-2.43910074234
20,-2.45523199687,-2.41658592224
21,-2.45973051239,-2.45105934143
22,-2.46519618528,-2.45602011681
23,-2.46473798202,-2.45293593407
24,-2.45688677788,-2.44479441643
25,-2.46710360202,-2.41512870789
26,-2.46517994387,-2.44520068169
27,-2.46919232727,-2.40163612366
28,-2.46057619914,-2.43453478813
29,-2.47451590718,-2.4540951252
30,-2.46266379659,-2.44628739357
31,-2.45766956105,-2.45200848579
32,-2.45612918955,-2.41939020157
33,-2.46178856064,-2.41880393028
34,-2.46472096522,-2.45669698715
35,-2.46947106698,-2.45132493973
36,-2.47883074222,-2.44686222076
37,-2.47138448132,-2.44782161713
38,-2.47028901448,-2.46371912956
39,-2.46888120943,-2.42689299583
40,-2.47376659517,-2.45472073555
41,-2.46880050367,-2.44355916977
42,-2.46335270444,-2.42815518379
43,-2.47834967535,-2.46155405045
44,-2.46993549347,-2.44789195061
45,-2.47266300661,-2.45820116997
46,-2.47705038699,-2.44243264198
47,-2.47244095746,-2.46690273285
48,-2.47809334441,-2.46116065979
49,-2.47123079872,-2.44068551064
50,-2.47902065344,-2.44878578186
51,-2.48287316895,-2.46122288704
52,-2.47889242576,-2.46003460884
53,-2.47030975061,-2.42877578735
54,-2.47108741828,-2.45976424217
55,-2.478932529,-2.46554231644
56,-2.47853333888,-2.467648983
57,-2.48181050379,-2.45626616478
58,-2.4774144562,-2.43710589409
59,-2.47935719355,-2.45677351952
60,-2.47535802931,-2.43639945984
61,-2.46565840093,-2.44062829018
62,-2.47689720131,-2.44767522812
63,-2.47838569046,-2.46840381622
64,-2.47151292835,-2.42224240303
65,-2.48135559217,-2.46613645554
66,-2.47410917821,-2.46414995193
67,-2.47443496928,-2.4616317749
68,-2.48232363297,-2.46601295471
69,-2.48096215955,-2.46693372726
70,-2.46559543183,-2.46845078468
71,-2.47439438764,-2.46693563461
72,-2.48494070289,-2.46409010887
73,-2.47348007359,-2.44944047928
74,-2.47886752162,-2.47216820717
75,-2.48502495575,-2.46715784073
76,-2.4805975804,-2.45924782753
77,-2.47710661653,-2.47025775909
78,-2.48377863233,-2.45137476921
79,-2.47990854084,-2.4358215332
80,-2.48028317754,-2.46859693527
81,-2.48017494101,-2.44968438148
82,-2.48449851676,-2.45124912262
83,-2.48097913114,-2.46926879883
84,-2.48080422009,-2.43981909752
85,-2.47334652519,-2.45514822006
86,-2.48397311278,-2.47117829323
87,-2.48303574742,-2.46497130394
88,-2.4864416624,-2.47135448456
89,-2.48070238226,-2.4695622921
90,-2.47493768703,-2.46929073334
91,-2.47702855245,-2.46720790863
92,-2.47922541057,-2.47163009644
93,-2.47306866051,-2.4615354538
94,-2.47720014123,-2.45772695541
95,-2.47822757474,-2.44527482986
96,-2.48191777611,-2.47079825401
97,-2.479187064,-2.46143317223
98,-2.48019515026,-2.43363618851
99,-2.47700392633,-2.45561599731
100,-2.47716569138,-2.36416459084
101,-2.4826627839,-2.46909308434
102,-2.47247185763,-2.45051598549
103,-2.48158321358,-2.4596221447
104,-2.47818632956,-2.46454668045
